,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,1996-08-08,sz000428,华天酒店,10.78,11.18,9.47,9.47,5.98,4.8,80.2676,77.5356,13956400,139840384.0,862400000.0,194040000.0
1,1996-08-09,sz000428,华天酒店,11.99,12.2,10.38,10.55,10.78,1.21,11.2245,56.43,10157400,114204832.0,959200000.0,215820000.0
2,1996-08-12,sz000428,华天酒店,13.0,13.11,12.1,12.2,11.99,1.01,8.4237,51.5528,9279500,117261048.0,1040000000.0,234000000.0
3,1996-08-13,sz000428,华天酒店,12.8,13.38,12.42,13.05,13.0,-0.2,-1.5385,23.2456,4184200,53212616.0,1024000000.0,230400000.0
4,1996-08-14,sz000428,华天酒店,12.8,12.98,12.41,12.7,12.8,0.0,0.0,11.4494,2060900,26161584.0,1024000000.0,230400000.0
5,1996-08-15,sz000428,华天酒店,12.37,12.87,12.05,12.6,12.8,-0.43,-3.3594,6.7744,1219400,15289811.0,989600000.0,222660000.0
6,1996-08-16,sz000428,华天酒店,12.1,12.54,11.52,12.3,12.37,-0.27,-2.1827,9.7611,1757000,20998940.0,968000000.0,217800000.0
7,1996-08-19,sz000428,华天酒店,12.32,12.67,12.0,12.2,12.1,0.22,1.8182,6.6167,1191000,14750001.0,985600000.0,221760000.0
8,1996-08-20,sz000428,华天酒店,11.7,12.3,11.65,12.08,12.32,-0.62,-5.0325,7.0722,1273000,15153919.0,936000000.0,210600000.0
9,1996-08-21,sz000428,华天酒店,12.0,12.2,11.69,11.7,11.7,0.3,2.5641,9.3783,1688100,20161184.0,960000000.0,216000000.0
10,1996-08-22,sz000428,华天酒店,11.25,12.19,11.2,12.1,12.0,-0.75,-6.25,7.965,1433700,16483746.0,900000000.0,202500000.0
11,1996-08-23,sz000428,华天酒店,10.68,11.3,10.3,11.25,11.25,-0.57,-5.0667,7.1939,1294900,13801607.0,854400000.0,192240000.0
12,1996-08-26,sz000428,华天酒店,10.68,10.88,9.9,10.11,10.68,0.0,0.0,7.2167,1299000,13320634.0,854400000.0,192240000.0
13,1996-08-27,sz000428,华天酒店,10.75,11.0,10.48,10.48,10.68,0.07,0.6554,4.255,765900,8248352.0,860000000.0,193500000.0
14,1996-08-28,sz000428,华天酒店,11.59,12.18,10.7,10.7,10.75,0.84,7.814,20.9839,3777100,44149364.0,927200000.0,208620000.0
15,1996-08-29,sz000428,华天酒店,11.9,12.19,11.5,11.8,11.59,0.31,2.6747,22.6128,4070300,48248000.0,952000000.0,214200000.0
16,1996-08-30,sz000428,华天酒店,11.7,12.05,11.5,11.99,11.9,-0.2,-1.6807,19.26,3466800,40640692.0,936000000.0,210600000.0
17,1996-09-02,sz000428,华天酒店,11.55,12.0,10.8,11.5,11.7,-0.15,-1.2821,12.2706,2208700,25331936.0,924000000.0,207900000.0
18,1996-09-03,sz000428,华天酒店,11.78,11.98,11.09,11.5,11.55,0.23,1.9913,13.9533,2511600,29233710.0,942400000.0,212040000.0
19,1996-09-04,sz000428,华天酒店,12.2,12.6,11.45,11.73,11.78,0.42,3.5654,17.6639,3179500,38325120.0,976000000.0,219600000.0
20,1996-09-05,sz000428,华天酒店,11.27,12.3,11.2,12.3,12.2,-0.93,-7.623,8.5939,1546900,18013434.0,901600000.0,202860000.0
21,1996-09-06,sz000428,华天酒店,11.13,11.55,11.0,11.3,11.27,-0.14,-1.2422,6.1633,1109400,12436750.0,890400000.0,200340000.0
22,1996-09-09,sz000428,华天酒店,11.2,11.6,11.0,11.0,11.13,0.07,0.6289,3.1228,562100,6377816.5,896000000.0,201600000.0
23,1996-09-10,sz000428,华天酒店,10.6,11.34,10.55,11.1,11.2,-0.6,-5.3571,2.7289,491200,5359621.0,848000000.0,190800000.0
24,1996-09-11,sz000428,华天酒店,10.8,10.98,10.2,10.98,10.6,0.2,1.8868,2.7083,487500,5195302.0,864000000.0,194400000.0
25,1996-09-12,sz000428,华天酒店,10.24,10.8,10.2,10.8,10.8,-0.56,-5.1852,2.3117,416100,4348375.0,819200000.0,184320000.0
26,1996-09-13,sz000428,华天酒店,10.45,10.6,9.99,10.5,10.24,0.21,2.0508,2.3939,430900,4401679.5,836000000.0,188100000.0
27,1996-09-16,sz000428,华天酒店,10.35,10.6,10.16,10.3,10.45,-0.1,-0.9569,1.9217,345900,3545594.25,828000000.0,186300000.0
28,1996-09-17,sz000428,华天酒店,10.67,10.8,10.3,10.3,10.35,0.32,3.0918,5.5894,1006100,10675092.0,853600000.0,192060000.0
29,1996-09-18,sz000428,华天酒店,10.1,10.72,10.0,10.7,10.67,-0.57,-5.3421,4.6422,835600,8551896.0,808000000.0,181800000.0
30,1996-09-19,sz000428,华天酒店,10.2,10.2,10.0,10.0,10.1,0.1,0.9901,2.4717,444900,4469750.5,816000000.0,183600000.0
31,1996-09-20,sz000428,华天酒店,10.6,10.6,10.16,10.2,10.2,0.4,3.9216,2.4128,434300,4513620.5,848000000.0,190800000.0
32,1996-09-23,sz000428,华天酒店,10.5,10.6,10.15,10.5,10.6,-0.1,-0.9434,1.62,291600,3034630.5,840000000.0,189000000.0
33,1996-09-24,sz000428,华天酒店,10.61,10.65,10.3,10.5,10.5,0.11,1.0476,2.5183,453300,4762943.5,848800000.0,190980000.0
34,1996-09-25,sz000428,华天酒店,11.06,11.1,10.5,10.5,10.61,0.45,4.2413,7.2622,1307200,14196799.0,884800000.0,199080000.0
35,1996-09-26,sz000428,华天酒店,11.1,11.3,10.81,11.2,11.06,0.04,0.3617,7.4244,1336400,14747075.0,888000000.0,199800000.0
36,1996-09-27,sz000428,华天酒店,11.54,11.6,11.15,11.2,11.1,0.44,3.964,9.8944,1781000,20364846.0,923200000.0,207720000.0
37,1996-10-03,sz000428,华天酒店,11.59,11.94,11.5,11.68,11.54,0.05,0.4333,7.3494,1322900,15473766.0,927200000.0,208620000.0
38,1996-10-04,sz000428,华天酒店,11.18,11.49,11.0,11.49,11.59,-0.41,-3.5375,4.4811,806600,9013418.0,894400000.0,201240000.0
39,1996-10-07,sz000428,华天酒店,11.3,11.35,11.0,11.2,11.18,0.12,1.0733,2.8328,509900,5662420.0,904000000.0,203400000.0
40,1996-10-08,sz000428,华天酒店,11.5,11.6,11.1,11.4,11.3,0.2,1.7699,4.4844,807200,9251133.0,920000000.0,207000000.0
41,1996-10-09,sz000428,华天酒店,12.96,13.5,11.4,11.4,11.5,1.46,12.6957,22.1561,3988100,49939148.0,1036800000.0,233280000.0
42,1996-10-10,sz000428,华天酒店,13.2,14.0,12.88,12.95,12.96,0.24,1.8519,16.2828,2930900,40039340.0,1056000000.0,237600000.0
43,1996-10-11,sz000428,华天酒店,14.0,14.0,13.25,13.5,13.2,0.8,6.0606,14.4428,2599700,35552412.0,1120000000.0,252000000.0
44,1996-10-14,sz000428,华天酒店,16.6,16.99,13.8,14.06,14.0,2.6,18.5714,20.2306,3641500,55147592.0,1328000000.0,298800000.0
45,1996-10-15,sz000428,华天酒店,19.99,19.99,16.8,16.8,16.6,3.39,20.4217,17.015,3062700,56269568.0,1599200000.0,359820000.0
46,1996-10-16,sz000428,华天酒店,20.8,21.08,19.11,19.48,19.99,0.81,4.052,11.8678,2136200,43865912.0,1664000000.0,374400000.0
47,1996-10-17,sz000428,华天酒店,21.48,22.86,21.0,21.6,20.8,0.68,3.2692,5.5617,1001100,21494670.0,1718400000.0,386640000.0
48,1996-10-18,sz000428,华天酒店,19.97,21.48,18.0,21.4,21.48,-1.51,-7.0298,4.9633,893400,17855464.0,1597600000.0,359460000.0
49,1996-10-21,sz000428,华天酒店,20.05,20.1,18.8,19.65,19.97,0.08,0.4006,10.58,1904400,37830216.0,1604000000.0,360900000.0
50,1996-10-22,sz000428,华天酒店,19.45,19.87,18.02,19.4,20.05,-0.6,-2.9925,2.8144,506600,9832659.0,1556000000.0,350100000.0
51,1996-10-23,sz000428,华天酒店,20.8,20.8,19.0,19.8,19.45,1.35,6.9409,2.0339,366100,7165809.0,1664000000.0,374400000.0
52,1996-10-24,sz000428,华天酒店,19.95,20.5,19.51,20.5,20.8,-0.85,-4.0865,2.6306,473500,9404903.0,1596000000.0,359100000.0
53,1996-10-25,sz000428,华天酒店,19.3,20.0,19.19,19.9,19.95,-0.65,-3.2581,1.53,275400,5353594.0,1544000000.0,347400000.0
54,1996-10-28,sz000428,华天酒店,19.8,19.91,19.1,19.2,19.3,0.5,2.5907,2.0389,367000,7162232.5,1584000000.0,356400000.0
55,1996-10-29,sz000428,华天酒店,19.65,20.0,19.6,20.0,19.8,-0.15,-0.7576,1.7917,322500,6359498.5,1572000000.0,353700000.0
56,1996-10-30,sz000428,华天酒店,19.68,19.8,19.5,19.8,19.65,0.03,0.1527,1.4706,264700,5192087.0,1574400000.0,354240000.0
57,1996-10-31,sz000428,华天酒店,21.0,21.33,19.5,19.68,19.68,1.32,6.7073,13.6906,2464300,50890108.0,1680000000.0,378000000.0
58,1996-11-01,sz000428,华天酒店,21.7,21.8,20.11,20.5,21.0,0.7,3.3333,7.2367,1302600,27461694.0,1736000000.0,390600000.0
59,1996-11-04,sz000428,华天酒店,23.7,23.78,20.05,20.05,21.7,2.0,9.2166,9.8094,1765700,39660556.0,1896000000.0,426600000.0
60,1996-11-05,sz000428,华天酒店,23.7,24.2,22.8,23.45,23.7,0.0,0.0,6.1744,1111400,25889646.0,1896000000.0,426600000.0
61,1996-11-06,sz000428,华天酒店,23.8,23.8,23.0,23.35,23.7,0.1,0.4219,4.2311,761600,17926328.0,1904000000.0,428400000.0
62,1996-11-07,sz000428,华天酒店,23.8,23.8,23.41,23.8,23.8,0.0,0.0,1.5344,276200,6517207.5,1904000000.0,428400000.0
63,1996-11-08,sz000428,华天酒店,24.6,24.6,23.5,23.5,23.8,0.8,3.3613,4.4744,805400,19390410.0,1968000000.0,442800000.0
64,1996-11-11,sz000428,华天酒店,25.19,25.19,24.06,24.6,24.6,0.59,2.3984,5.5694,1002500,24705134.0,2015200000.0,453420000.0
65,1996-11-12,sz000428,华天酒店,26.0,26.0,23.01,25.0,25.19,0.81,3.2156,5.7333,1032000,25820690.0,2080000000.0,468000000.0
66,1996-11-13,sz000428,华天酒店,27.3,27.3,25.49,25.9,26.0,1.3,5.0,4.9733,895200,23645106.0,2184000000.0,491400000.0
67,1996-11-14,sz000428,华天酒店,29.88,29.88,27.0,27.3,27.3,2.58,9.4505,3.5539,639700,18455856.0,2390400000.0,537840000.0
68,1996-11-15,sz000428,华天酒店,29.93,30.0,28.9,29.88,29.88,0.05,0.1673,3.0994,557900,16482185.0,2394400000.0,538740000.0
69,1996-11-18,sz000428,华天酒店,30.5,31.9,29.8,30.5,29.93,0.57,1.9044,4.1161,740900,22290084.0,2440000000.0,549000000.0
70,1996-11-19,sz000428,华天酒店,34.3,35.0,30.9,30.9,30.5,3.8,12.459,7.0533,1269600,42560292.0,2744000000.0,617400000.0
71,1996-11-20,sz000428,华天酒店,34.7,35.8,34.4,35.0,34.3,0.4,1.1662,4.1022,738400,25911584.0,2776000000.0,624600000.0
72,1996-11-21,sz000428,华天酒店,33.6,35.0,33.5,34.8,34.7,-1.1,-3.17,2.5917,466500,16023190.0,2688000000.0,604800000.0
73,1996-11-22,sz000428,华天酒店,34.79,34.8,32.8,33.2,33.6,1.19,3.5417,6.3189,1137400,38809204.0,2783200000.0,626220000.0
74,1996-11-25,sz000428,华天酒店,38.49,38.5,34.9,34.9,34.79,3.7,10.6352,10.1083,1819500,67341312.0,3079200000.0,692820000.0
75,1996-11-26,sz000428,华天酒店,22.96,23.3,21.07,22.0,21.38,1.58,7.3901,14.88,2678400,60683552.0,1836800000.0,413280000.0
76,1996-11-27,sz000428,华天酒店,22.7,23.1,22.05,22.5,22.96,-0.26,-1.1324,8.4333,1518000,34509992.0,1816000000.0,408600000.0
77,1996-11-28,sz000428,华天酒店,19.98,22.0,19.98,22.0,22.7,-2.72,-11.9824,8.1377,2636600,54502176.0,2877120000.0,647352000.0
78,1996-11-29,sz000428,华天酒店,18.0,20.7,17.8,19.47,19.98,-1.98,-9.9099,18.354,5946700,110605616.0,2592000000.0,583200000.0
79,1996-12-02,sz000428,华天酒店,20.5,20.5,17.5,18.0,18.0,2.5,13.8889,9.8688,3197500,59202252.0,2952000000.0,664200000.0
80,1996-12-03,sz000428,华天酒店,23.5,23.5,19.8,20.5,20.5,3.0,14.6341,16.808,5445800,118115232.0,3384000000.0,761400000.0
81,1996-12-04,sz000428,华天酒店,25.5,25.86,23.8,24.0,23.5,2.0,8.5106,11.8346,3834400,96818720.0,3672000000.0,826200000.0
82,1996-12-05,sz000428,华天酒店,27.0,27.51,25.0,25.8,25.5,1.5,5.8824,10.4549,3387400,90237936.0,3888000000.0,874800000.0
83,1996-12-06,sz000428,华天酒店,26.5,27.68,25.85,26.0,27.0,-0.5,-1.8519,8.1994,2656600,69786744.0,3816000000.0,858600000.0
84,1996-12-09,sz000428,华天酒店,25.5,26.8,25.0,26.8,26.5,-1.0,-3.7736,8.0988,2624000,66758616.0,3672000000.0,826200000.0
85,1996-12-10,sz000428,华天酒店,24.75,25.6,23.81,25.5,25.5,-0.75,-2.9412,10.6519,3451200,85015144.0,3564000000.0,801900000.0
86,1996-12-11,sz000428,华天酒店,24.68,26.05,24.3,24.55,24.75,-0.07,-0.2828,8.8417,2864700,71596168.0,3553920000.0,799632000.0
87,1996-12-12,sz000428,华天酒店,23.99,25.0,23.5,24.55,24.68,-0.69,-2.7958,7.7346,2506000,60114504.0,3454560000.0,777276000.0
88,1996-12-13,sz000428,华天酒店,22.25,23.99,21.81,23.99,23.99,-1.74,-7.253,5.3756,1741700,39819780.0,3204000000.0,720900000.0
89,1996-12-16,sz000428,华天酒店,19.99,19.99,19.99,19.99,22.21,-2.22,-9.9955,0.2302,74600,1491254.0,2878560000.0,647676000.0
